"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
2513	907	17	"false"	17	1	
2514	910	28	"false"	28	1	
2515	916	17	"false"	17	1	
2516	920	17	"false"	17	1	
2517	922	17	"false"	17	1	
2518	923	17	"false"	17	1	
2519	925	17	"false"	17	1	
2520	927	17	"false"	17	1	
2521	928	17	"false"	17	1	
2522	929	17	"false"	17	1	
2523	930	17	"false"	17	1	
2524	933	17	"false"	17	1	
2525	936	17	"false"	17	1	
2526	938	17	"false"	17	1	
2527	939	17	"false"	17	1	
2528	940	17	"false"	17	1	
2529	941	17	"false"	17	1	
2530	942	17	"false"	17	1	
2531	945	17	"false"	17	1	
2532	946	17	"false"	17	1	
2534	950	17	"false"	17	1	
2535	951	17	"false"	17	1	
2536	952	17	"false"	17	1	
2537	953	17	"false"	17	1	
2538	955	17	"false"	17	1	
2539	956	17	"false"	17	1	
2540	957	17	"false"	17	1	
2541	958	17	"false"	17	1	
2542	960	17	"false"	17	1	
2543	962	17	"false"	17	1	
2544	963	17	"false"	17	1	
2546	984	17	"false"	17	1	
2547	985	17	"false"	17	1	
2548	986	17	"false"	17	1	
2549	987	17	"false"	17	1	
2550	989	29	"false"	29	1	
2551	990	17	"false"	17	1	
2552	991	17	"false"	17	1	
2553	992	17	"false"	17	1	
2554	993	17	"false"	17	1	
2555	994	17	"false"	17	1	
2556	995	21	"false"	21	1	
2557	996	17	"false"	17	1	
2558	997	17	"false"	17	1	
2559	998	17	"false"	17	1	
2560	999	17	"false"	17	1	
2561	1000	17	"false"	17	1	
2562	1001	17	"false"	17	1	
2563	1002	17	"false"	17	1	
2564	1004	17	"false"	17	1	
2565	1006	17	"false"	17	1	
2566	1007	17	"false"	17	1	
2567	1008	17	"false"	17	1	
2568	1009	17	"false"	17	1	
2569	1010	17	"false"	17	1	
2570	1011	17	"true"	17	1	
2571	1014	17	"false"	17	1	
2572	1015	17	"false"	17	1	
2573	1016	17	"false"	17	1	
2574	1017	17	"false"	17	1	
2575	1021	17	"false"	17	1	
2576	1022	17	"false"	17	1	
